skill_raw,true_taxonomy_id
gestão de pessoas,1
People Management,1
SQL,32
sql avançado,32
machine learning,40
comunicação assertiva,2
python,31
PYTHON,31
análise de dados,39
resolução de conflitos,3
power bi,76
PowerBI,76
espiritualidade,
excel avançado,78
scrum,19
Metodologias Ágeis,19
storytelling com dados,21
pensamento crítico,6
Critical Thinking,6
versionamento de código,72
Git,72
cloud computing,"[66, 67, 68]"
AWS,66
engenharia de dados,51
ETL,52
visão de produto,14
Product Sense,14
Alinhamento com o universo,
inteligência emocional,4
negociação,5
liderança,25
gestão de tempo,10
data analysis,39
deep learning,41
NLP,42
docker,63
kubernetes,64
CI/CD,65
comunicação,2
resolução de problemas,3
tomada de decisão,8
adaptabilidade,9
colaboração,13
inovação,29
gestão de projetos,18
planejamento estratégico,27
data science,"[39, 40]"
agilidade,19
feedback,
astrologia,
